category,text
livestock,"U.S. HOUSE PANEL EXTENDS EEP, URGES USSR OFFER  The U.S. House Agriculture Committee  approved proposals to extend the life of the Export Enhancement  Program, EEP, through fiscal 1990 and urged the Reagan  administration offer EEP wheat to the Soviet Union.      The proposals were approved as amendments to a  comprehensive trade bill moving through Congress this year.      In addition to the amendments on EEP, the committee  approved several proposals which could restrict imports of  lamb, casein, sugar-containing products and tobacco. Those  amendments affecting imports face an uncertain future because  the House Ways and Means Committee, which has overall  jurisdiction over trade legislation, will oppose them,  Congressional sources said.      The effect of the EEP amendments would be to extend the  life of the program five years through fiscal 1990 rather than  the current three years through fiscal 1988.      The amendments, offered by Rep. Dan Glickman, D-Kan., also  would increase funding for the program to 2.5 billion dlrs from  1.5 billion now.      Furthermore, the committee passed an amendment offered by  Rep. Glickman which instructs the U.S. Agriculture Department  to value EEP bonus commodities at market value, not acquisition  value. Glickman said the change would make the program 30 pct  less expensive to operate.      The provision on EEP wheat to the Soviet Union, offered by  Rep. Bob Smith, R-Ore., does not require the administration  make an offer, but urges such action.      The committee approved an amendment, offered by Rep. Glenn  English, D-Okla., requiring the Secretary of Agriculture to  begin discussions with other major grain producing countries  aimed at jointly reducing world grain production.      Trade Representative Clayton Yeutter yesterday opposed the  amendment, saying such commodity agreements do not work.      Among the host of amendments to restrict imports approved  by the panel, the most significant would require quotas on  imports of goods containing more than 25 pct of a bulk farm  product that is subject to U.S. quotas. The amendment, offered  by Rep. Arlan Stangeland, R-Minn., is aimed primarily at  curbing imports from Canada of products containing sugar and  foreign foods containing dairy products. It also may affect  peanut, cotton and tobacco imports, Committee sources said.      Another amendment would place a quota on U.S. imports of  casein, a dairy product shipped to the U.S. primarily by New  Zealand and Ireland.      The panel also voted to apply to lamb imports the same  countercyclical import quota law which is operating for U.S.  beef imports.      Other miscellaneous amendments included:      -- Urging the administration consider retaliating against  Japan and South Korea if those countries do not remove  restrictions on beef imports.      -- Boosting the amount of U.S. grain which must be shipped  each year under a food aid program called Section 416 to  800,000 tonnes from 500,000 tonnes now.      -- Requiring the Agriculture Secretary conduct a study of  the Canadian Wheat Board import licensing system for wheat to  determine if it is a non-tariff trade barrier.      -- Requiring the Agriculture Secretary reimburse the  National Corn Growers Association up to 500,000 dlrs for the  costs of defending the U.S. feedgrains program against a  Canadian countervailing duty case this year.      -- Urging the administration oppose the Canadian decision  to apply a duty on U.S. corn imports, and a proposal by the  European Community to apply a vegetable oils tax.      -- USDA conduct a study of the findings of a National  Commission on Agricultural Export Policy, which recommended a  reorganization of USDA's trade policy apparatus.  "
nat-gas,"U.S. ENERGY INDUSTRY SAID IN BETTER HEALTH  The U.S. oil and gas industry is in  better health than it was a year ago, according to testimony  given to the Texas Railroad Commission at its annual state of  the industry hearing today.       The Commission, which regulates the state's oil and gas  industry, heard testimony from a number of high-level company  executives reflecting a belief that the recent industry  downturn had bottomed out.       ""The attitude expressed here today so far is a great deal  more optimistic (than last year),"" Commissioner James E. (Jim)  Nugent told Reuters.       ""It reflects their (the executives) belief that they are  seeing the bottom of the economic cycle,"" he added, ""and with  just a few reasonable breaks this industry can begin to move  again.""       The energy industry was hard hit by the sharp drop in oil  prices, which fell from around 30 dlrs a barrel in late 1985 to  as low as 10 dlrs in mid-1986. Prices have since steadied to  around 18 dlrs a barrel.       At the same time, a number of company executives testified  that the nation's domestic exploration and production segment  was still hurting and in need of government help.       Production costs are considerably higher in the United  States than in such areas as the Middle East and as prices fell  many domestic producers were forced to shut down their  operations. Currently, there are only about 760 oil rigs  operating in the United States compared with an average of  nearly 2,000 in 1985.       Citing a study released yesterday by the Department of  Energy, many said the falling production of domestic oil  coupled with increasing U.S. demand, was leading to a growing  dependency on imports, particularly from the politically  volatile Middle East.       ""In the U.S., 1986 petroleum production responded to lower  prices, increasing about 2.5 pct, or 400,000 barrels per day  (bpd),"" said J.S. Simon, General Manager of the Supply  Department at Exxon Corp &lt;XON>, the nation's largest oil  company.       At the same time, Simon said ""U.S. oil production declined  by 300,000 bpd, the first decline in several years,"" and ""net  petroleum imports were up 25 pct to 5.3 mln bpd.""       Noting that while oil prices were expected to remain  between 13 and 20 dlrs a barrel, depending on OPEC's ability to  control production, Simon said demand is expected to remain at  1986 levels, leading to ""a significant amount of spare  worldwide production capacity, in excess of 10 mln bpd.""       He said the surplus capacity would lead to continued  volatility and called for ""governmental and regulatory policies  in support of the domestic petroleum industry.""       Citing the costs recently imposed by the federal  government through the 1986 tax code changes and ""Superfund""  legislation, Simon called for the repeal of the windfall  profits tax, total decontrol of natural gas and improved access  to federal lands for oil and gas exploration.       Simon did not mention an oil import fee, which many in the  industry have called for as a way of building up the nation's  domestic operations before imports reach such a level that  national security might be compromised.       In yesterday's report, the Energy Department said imports  could make up 50 pct of U.S. demand by 1995, adding that  Persian Gulf producers will provide as much as 65 pct of the  free world's total oil consumption by that date.       Arguing that ""oil is a political tool in every nation on  earth,"" Frank Pitts, chairman of &lt;Pitts Oil Co>, today called  for a variable oil import fee, among other measures, ""before  the treacherous foothold of the Middle East is irreversible and  our national security is compromised.""       Royce Wisenbaker, Chairman of Wisenbaker Production Co,  agreed, saying that like many federal government programs that  were set up with good intentions, it would probably turn into a  ""shambles.""       Wisenbaker added that he was optimistic for the future.  ""For those of us who have managed to hold on, the worst is  over,"" he said.       Roger Hemminghaus, President of Diamond Shamrock Refining  and Marketing Co, said he was ""enthusiastic about the future,""  adding that he expected ""an increase in profitability by  midyear.""  "
nat-gas,"COOPER BASIN NATURAL GAS RESERVES UPGRADED  Remaining recoverable gas reserves in  the areas held by the Santos Ltd &lt;STOS.S>-led Cooper Basin  joint ventures have been upgraded to 2,721.7 billion cubic feet  (bcf) from the 2,466 estimated last May, Santos said.      The upgrading followed a re-review by consultant &lt;Coles  Nikiforuk Pennell Associates> in light of the large number of  gas finds since May 1986, Santos said in a statement.      This means that total contractual commitments of 2,455.5  bcf to &lt;The Australian Gas Light Co> of New South Wales and the  Pipeline Authority of South Australia can be met with spare gas  available for sale in South Australia, it said.  "
gnp,"INSTITUTES DIVIDED ON OUTLOOK FOR GERMAN ECONOMY  The five leading West German economic  research institutes have failed to agree about how strongly the  domestic economy will expand this year but revised down  forecasts contained in a report published six months ago.      The three research groups of Kiel, Hamburg and Essen  predicted in the institutes' joint spring report that gross  national product (GNP) would rise by two pct in 1987, compared  with 2.4 pct in 1986. The five institutes had jointly forecast  three pct 1987 growth in October last year.      Taking a dissenting view, the DIW institute of West Berlin  and Munich's Ifo institute predicted only one pct 1987 growth.      The joint report said that the estimates of economic  development made by the DIW and Ifo were ""markedly less  favourable"" than those of the other three.      The DIW and Ifo forecast the economy would pick up after a  slow start to the year. ""In the second half of 1987 there will,  however, only be a weak upward movement,"" they said.      The two institutes said external economic factors which  were currently damaging exports and pushing up imports would  dominate the economic environment throughout the year. They saw  exports falling by a real 2-1/2 pct in 1987 and predicted no  marked improvement in the course of the year.      The other three institutes, however, wrote: ""The decline in  demand and production (seen) in the winter months does not  indicate the beginning of a cyclical downswing.""      They said the sharp rise of the mark had led to corporate  uncertainty and companies had not carried out investment plans.  But they expected that many investments had not been cancelled  but only put off. ""It can be presumed that the braking actions  (on the economy) will diminish markedly this year.""      They added: ""The domestic prerequisites for a continuation  of the economic uptrend are still favourable.""      These three institutes said diminishing external burdens  combined with favourable domestic conditions meant an upturn in  demand and production could be expected by the spring.      However, this projection was clouded by risks including the  further development of the mark against the dollar.      Contrary to the DIW and Ifo, the three institutes said that  while exports would continue to be the weak point of the  economy in 1987, ""there is good reason to believe that exports  will soon bottom out and that a slight rise will emerge during  the course of the year."" They predicted an overall 0.5 pct fall  in exports in 1987, the same as in 1986.      The three more positive institutes saw private consumption  rising by four pct in 1987, compared with 4.2 pct in 1986,  while DIW and Ifo predicted a three pct increase.      They saw the climate for equipment investment improving but  predicted only a rise of four pct in 1987 against 4.6 pct in  1986. Ifo and DIW saw these investments rising by only two pct.      All the institutes predicted only a slight decline in  unemployment. The Kiel, Hamburg and Essen institutes said the  jobless total would average 2.17 mln in 1987 compared with 2.23  mln in 1986 and predicted a rise in the number of people in  work of about 200,000.      These three institutes said new jobs would be created  mainly in the private services sector and also by the state in  the context of job creation measures. The construction industry  was likely to engage new workers for the first time since 1980  but they predicted either no rise in employment in the  manufactured goods industry or only a slight expansion.      The DIW and Ifo said rises in employment would occur only  in the tertiary sector, while ""the number employed in the  manufacturing industry will decline.""      The DIW and Ifo said unemployment would only decline to  2.20 mln in 1987 from 2.23 mln in 1986.      They saw the current account surplus falling in 1987 to 58  billion marks from 78 billion in 1986. The other three saw a  current account surplus in 1987 of at least 60 billion marks  and predicted that the trade surplus would fall to only around  100 billion marks from 112 billion in 1986.      The institutes agreed that consumer prices would start to  rise in 1987, after they declined in 1986, and all five  predicted an average increase over the year of 0.5 pct.  "
gold,"LITTLE REACTION TO REMOVAL COMEX DAILY LIMITS  The elimination of limits on daily price  fluctuations for metals futures contracts traded on the  Commodity Exchange, COMEX, appears to be having little effect  on the market, analysts said.      ""There is nothing apparent from the change,"" said William  O'Neill, director of futures research at Elders Futures Inc.      ""The market has not approached the old price limits and  trading is relative quiet, in narrow ranges,"" he said.      On May 5, COMEX eliminated price limits on the two  contracts following each spot delivery in gold, silver, copper  and aluminum futures after a review of its clearing operations,  which were severely tested by a volatile market in silver  futures at the end of April. COMEX announced Friday the lifting  of all daily limits, effective today.      Gold futures, which previously had a limit of 25 dlrs per  ounce in most back months, were about 7.00 dlrs weaker in the  nearby contracts amid thin volume conditions, traders said.      Silver futures, previously limited at 50 cents in most back  months, were trading about 30-40 cts weaker in the nearby  contracts amid quiet trading today.      During the last week of April, silver futures often traded  at the daily allowable limit amid concerns about inflation, the  dollar, and other factors. Traders rushed into the spot, or  unlimited, contract to offset those moves, analysts said.      As a result, O'Neill said, there was much confusion, many  unmatched trades, and large losses for some traders.      The COMEX fined four large firms a total of 100,000 dlrs  for failure to resolve unmatched trades in a timely manner.      Paul Cain, a vice president at Shearson Lehman Brothers,  said the elimination of price limits will cut back on panic  buying or selling and contribute to more orderly markets.      O'Neill added that the elimination of daily limits would  add caution to trading.      ""This is a more realistic approach because the metals  market is a 24 hours market and prices can move without limit,""  O'Neill said.  "
gold,"CHINA'S HEILONGJIANG PROVINCE BOOSTS GOLD OUTPUT  Gold output in the northeast China  province of Heilongjiang rose 22.7 pct in 1986 from 1985's  level, the New China News Agency said. It gave no figures.      It said the province, China's second largest gold producer  after Shandong, plans to double gold output by 1990 from the  1986 level. China does not publish gold production figures.      However, industry sources estimate output at about 65  tonnes a year, with exports put between 11 and 31 tonnes.      China is selling more gold abroad to offset large trade  deficits in recent years, western diplomats said.  "
gold,"BELGIUM DETAILS PRICING PLAN FOR ECU GOLD COIN  The 50 European Currency Unit gold  coins which go on sale tomorrow in Belgium will be priced at a  premium of seven pct to the value of the gold they contain, a  Finance Ministry spokesman said. The price will be calculated  daily, based on the daily gold fixing in London.      Belgium is minting an initial 50,000 gold coins to  celebrate the 30th anniversary of the European Community's  founding Treaty of Rome, but final production is expected to be  around 200,000. Each 17.27 gram coin will contain 55 grams of  fine metal.      Two mln silver coins, face value five Ecus, will be sold at  500 francs each.  "
nat-gas,"BRITOIL SEES LOWER U.K. EXPLORATION EXPENDITURE  Britoil Plc's &lt;BTOL.L> exploration  expenditure for the U.K. In 1987 was likely to be only about a  third of the level in 1986, though overseas expenditure would  remain approximately the same, Chief executive David Walker  said.      He told reporters following the release of the company's  1986 figures that project expenditure would also remain at 1986  levels.      U.K. Project expenditure in 1986 rose to 208 mln stg from  184 mln while exploration expenditure dropped to 87 mln from  156 mln. Overseas exploration fell to 28 mln from 58 mln in  1985.      Earlier, Britoil posted a drop in pretax profit for 1986 to  134 mln stg from 759 mln in 1985, before an extraordinary  charge of 50 mln stg on the company's U.S. Assets. The results  were slightly better than analysts forecast and the share  firmed to 231p from 222p at last night's close. Chairman Sir  Philip Shelbourne said the collapse in the oil price in 1986  had made the period extremely difficult but the company had  come through remarkably well.      Provided the recovery in oil prices was maintained, the  conditions would be right for a substantially improved  performance this year.      He added that the firmness of oil prices in March, when  they were normally weaker, made him ""a bit encouraged"" about the  prospects for future levels.      Walker added that Britoil would feel confident if the price  stayed within a band of 15 dlrs to 20 dlrs a barrel.      Britoil had received some 100 responses to its announcement  of a desire to sell the assets and was asking for bids by the  latter part of April.      End-year reserves rose to 603 mln barrels of oil compared  with 503 mln previously. However, Walker noted that this  included a revised definition of reserves.      If 1985 figures were restated along the same lines, the  reserve figure would show a drop from 720 mln barrels  previously.      Gas reserves also eased to 3,568 billion cubic feet from a  restated 3,660 billion.  "
gnp,"JAPAN ECONOMY MAY BE NEAR BOTTOM, ECONOMISTS SAY  The worst may be just about over for  Japan's battered economy but economists said they do not expect  a vigorous recovery anytime soon. Japanese bank economists  polled by Reuters said the economy's 18 month-old slowdown is  likely to end in the first half of this year, helped by rising  exports, stepped-up government spending and falling prices. ""The  economy will bottom out in the middle of the year,"" said  Sumitomo Bank Ltd chief economist, Masahiko Koido.      Industrial Bank of Japan Ltd senior economist Susumu  Taketomi agreed. ""It (the bottom) is in the offing,"" he said.      But he added that the recovery will be slow. Growth in the  fiscal year beginning next month will only pick-up 2.2 pct,  from two pct in the current year, he said.      Signs that the economy has just about weathered the worst  are increasing.      The volume of exports in the first two months of the year  rose slightly on a year-on-year basis, after declining toward  the end of last year.      Although this may be due to extraordinary factors such as a  sharp rise in car exports to rebuild depleted European stocks,  several economists said it could mark the beginning of a  recovery.      Industrial production fell 0.7 pct in January, much smaller  than expected, and is forecast by the government to rise 0.3  pct in February and 2.6 pct in March. A Bank of Japan survey  released last week showed that the decline in Japanese  corporate earnings may be nearing its end.      And the Paris currency accord last month has fostered hopes  the rapid yen rise has come to the end, they said.      Six nations - the U.K., Canada, France, Japan, the U.S. And  West Germany - pledged in Paris last month to stabilise  currencies around current levels.      The yen's 40 pct climb against the dollar over the last two  years has hit the export-driven economy hard, by forcing its  companies to raise prices and lose sales in the U.S. Market.      ""The important thing is the exchange rate,"" Taketomi said.      If it stabilises firms will grow more confident and raise  investment in plant and equipment, although there are no signs  of that yet, economists said.      A stable yen would also help exporters regain some of their  competitive edge just as the U.S economy may be starting to  recover, economists said.      Domestically, the economy may get a boost from some  loosening of the government's tight fiscal policy said Haruo  Muto, manager of national economics at the Bank of Tokyo Ltd.      The next reading of the economy's health should come early  next week with the release of gnp figures for the last quarter,  1986.      Most private economists expect a rise of about 0.5 pct from  the previous quarter. In the third quarter, GNP rose 0.6 pct.      But a senior government official said the fourth quarter  figures could surprise by showing a rise of more than one point  quarter-on-quarter. But he added that would be a statistical  aberration and not a significant shift in economic activity.      To maintain year-on-year growth of around 2.5 pct, the  economy would have had to rise about 1.2 pct in the fourth  quarter as the final quarter of 1985 was strong.       The rise in the fourth quarter of 1985 was probably a  statistical anomaly that was repeated in the final months of  1986, the official said.      Economists said the fourth quarter figures were also  distorted by the government's sale of gold coins in the second  half of 1986.      Because the coins were classified as legal tender, their  purchase did not show up in the statistics on consumer  expenditure. Consumer spending also tailed off in December  because of bad weather and smaller-than-normal end-year  bonuses, they said.      As the government had to buy back some of the coins from  retailers because they were unsold, the government's  contribution to the economy in the fourth quarter may have been  boosted, economists said.      Taketomi said it may have received a further boost from  government buying of farm products as the domestic crop last  year was good.      The senior government official said the fourth quarter  performance of the domestic sector was probably worse than  generally expected, while that of the external sector was  better.  "
gold,"MORGAN BANK PLANS WARRANTS FOR GOLD AT 425 DLRS  Morgan Guaranty Trust Co of New York  plans an issue of 12,000 warrants for gold bullion at 425 dlrs  an ounce, lead manager Morgan Guaranty (Switzerland) AG said.      Each warrant, priced at 955 Swiss francs, entitled holders  to acquire five-ounce bars of .999 gold in the period from  April 30, 1987, to July 31, 1991, exercisable on Wednesdays.      The warrants represented unsecured, unsubordinated  liabilities of the borrower. Payment was due April 16, and a  quotation on the Luxembourg bourse was planned.      The warrants, when exercised, would be repaid in current  dollars based on the value of gold on the exercise date.      The conditions represent a premium of about 145 dlrs an  ounce to the current gold price.      A Morgan (Switzerland) official said that on the basis of  the maturity of four years and three months, the pricing  involved an implicit volatility of gold of 24.5 pct before the  warrants were in the money, compared with implicit volatility  of 30 pct for the Indosuez gold warrants and 26 pct for the  Citibank gold warrants recent issued with maturities of 18 and  24 months.  "
nat-gas,"MITCHELL ENERGY &lt;MND> AGAIN CUTS CAPITAL OUTLAYS  Mitchell Energy and  Development Corp said it plans to hold its capital spending in  fiscal 1988, ending January 31, to 96 mln dlrs, down from the  123 mln dlrs spent in 1987 and 213 mln dlrs in 1986.      The company also said its natural gas revenues so far this  year have been reduced by lower contract customer purchases due  to mild weather and soft economic conditions.      ""But the contracts call for the lower 'takes' to be made up  during the course of the year,"" Mitchell Energy said. Meanwhile  it will sell additional quantities of gas on the spot market.      Mitchell Energy said the additional spot sales will tend to  lower the average price realized for gas in the early part of  fiscal 1988.      However, it said the average for the full year is not  expected to be significantly lower than the 2.99 dlrs per  thousand cubic feet averaged in fiscal 1987.                     "
livestock,"EC SOURCES DETAIL NEW FARM SOCIAL PACKAGE  The 350 mln Ecu three-year package of  social and structural measures agreed early today by European  Community farm ministers features a plan to compensate farmers  for reducing output of certain surplus products, EC Commission  sources said.      The ministers agreed that under this ""extensification""  scheme, farmers would qualify for compensation if they cut  output of specific products by at least 20 pct.      The plan would initially apply to cereals, beef, veal and  wine, they added.      Cereals farmers would have to achieve their output cuts by  reducing acreage, while cattle farmers would reduce their  number of head and vinegrowers would cut yield. In each case,  farmers would have to undertake not to step up their capacity  for output of other products which are in surplus in the EC.      The sources said payment levels have not yet been fixed but  will be designed to compensate farmers for loss of profit on  the production they forego.      The sources said the package also contains provisions for  payments to farmers who embark on a program aimed at protecting  or improving the environment.      It would also mean compensatory allowances in less favoured  farming areas would be extended to crops. At present such  allowances are available only for livestock.      The package would provide 20 mln Ecus for research into  alternative farming techniques, the sources added.      At a news conference EC Farm Commissioner Frans Andriessen  said the Commission is also working on proposals to enable the  EC and member states to provide direct income supports for  relatively poor farmers.      Andriessen did not give full details, but said member state  aid would be subject to ""strict criteria to avoid distortion of  competition.""      EC payments would aim to help farmers to survive a  difficult period while the EC tackles the problems of surplus  production.      The Commission withdrew from the package agreed last night  proposals to pay ""early retirement"" pensions to farmers aged 55  or over who gave up production. Those who took their land  completely out of farm production, rather than passing it on to  their heirs, would have received more generous payments.      Andriessen said the Commission plans to present revised  proposals along these lines in an effort to get a scheme  agreed.  "
livestock,"JAPAN SEEN REDUCING BEEF, PORK INTERVENTION PRICES  The Agriculture Ministry is expected to  reduce official intervention prices for beef and pork in  1987/88 starting in April, but the cutback ratio has not been  set yet, industry sources said.      Production prices, the basis for setting intervention  prices, have been falling because of declining compound feed  prices due to low coarse grain import prices, they said.      Last November an advisory panel urged the government to  work on reducing officially set high farm product prices to  levels closer to international values, the sources added.      In Japan the government maintains a price stabilisation  zone system for beef and pork to support domestic producers.      The stabilisation zone is kept by the semi-government  Livestock Industry Promotion Corp (LIPC) through a buffer stock  operation in the wholesale market.      The 1987/88 beef and pork price stabilisation zone will be  set by the end of March after an advisory panel to the  Agriculture Ministry recommends the price zone at a meeting on  March 25, ministry officials said. At present, the standard or  bottom price of castrated wagyu beef, known as marbled beef, is  1,400 yen per kilo, while its ceiling is 1,820, they said.      The standard price of other beef, mainly produced from  dairy steers, is now 1,090 yen per kilo and the ceiling is  1,420, the officials said. The pork standard price is now 540  yen per kilo and the ceiling 760.      They said the domestic beef intervention price influences  imported beef selling prices on the domestic market.      Japan sets an annual beef import quota. A semi-government  body imports most of this and releases it to wholesalers or  processors in line with the standard price of other beef  categories in an attempt to avoid jeoparadising domestic beef  prices, they said.  "
gnp,"BANKS SEE GERMAN GROWTH OF AT LEAST TWO PCT  External risks for the economy have  increased, but growth of two to 2.5 pct this year is still  possible, according to President of the West German Federation  of Banks, Hanns Christian Schroeder-Hohenwarth.      Schroeder-Hohenwarth told a news conference the further  fall of the dollar since the start of this year and the  revaluation of the mark against European currencies meant West  German exporters were facing a ""rough wind.""      However, domestic demand was continuing to rise and private  consumption in particular would support the economy, he said.  He saw good prospects for consumer industries.      Schroeder-Hohenwarth said economic policy now had to  concentrate on strengthening this domestic growth. In this  context, he welcomed a decision by the government to increase  the scope of tax cuts due in 1988.      He added, a planned reform of the fiscal system scheduled  for 1990, which was worked out by coalition partners this  month, was an ""important step in the right direction.""      The government plans to cut corporation tax to 50 pct from  56 pct. However, Schroeder-Hohenwarth said the decision to cut  the maximum rate of income tax to only 53 pct from 56 pct was  ""rather half-hearted.""  "
nat-gas,"MOBIL &lt;MOB> HAS NORTH SEA NATURAL GAS FIND  Mobil Corp said the 49/28-14 wildcat  well in Block 49/28 of the British North Sea flowed 50.6 mln  cubic feet of natural gas per day from depths of 7,742 to 7,777  feet.      The company said it has a 23.33 pct interest and other  interest holders include Atlantic Richfield Co &lt;ARC>, Sun Co  &lt;SUN> and Deminex AG 10 pct.  "
gold,"S AFRICA MINE MANAGERS FACE CHARGES IN DISASTER  Seven managers and employees at  General Mining Union Corp Ltd's Kinross Mines Ltd will face  charges of culpable homicide following last year's disaster  when 177 gold miners died, the Attorney General's Office said.      The mineworkers were killed last September at Kinross when  a fire set off toxic fumes which suffocated miners underground.      Three of the accused face alternative charges of breaking  safety regulations set out in the Mines and Works Act.      The spokesman said the case would probably be heard in  Witbank Regional Court, near Kinross, in mid-May.  "
gnp,"JAPAN OFFICIALS SEE DIFFICULTY HITTING GNP TARGET  The government will find it very  difficult to achieve its new gross national product (GNP)  forecast of three pct growth in the fiscal year ending March  31, Economic Planning Agency officials said.      They made the comment to reporters after news that GNP rose  0.8 pct in the October/December quarter, after a 0.7 pct  increase the previous three months.      For Japan to achieve three pct growth in 1986/87, GNP in  the January/March period would have to grow 2.6 pct from  October/December, the officials said. The government lowered  its GNP forecast for 1986/87 from four pct last December.  "
livestock,"USDA PROPOSES NAME CHANGES IN BEEF GRADE  The U.S. Agriculture Department  proposes to rename the ""USDA Good"" grade of beef to ""USDA Select.""      The department said the proposed change is in response to a  petition from Public Voice for Food and Health Policy and would  present a more positive image of this grade of beef and help  calorie-conscious consumers select leaner cuts of meat.      Under current rules, the ""good"" grade of meat has less  marbling and fat than the ""prime"" or ""choice"" grades, it said.      Standards for all of the grades would remain unchanged  under the proposal.  "
livestock,"U.S. IMMIGRATION RULES SPARK CONGRESS OBJECTIONS  New immigration rules relating to  alien farm workers and reportedly being drafted by the U.S.  Agriculture Department are meeting with objections in Congress,  sources on Capitol Hill said.      USDA is drafting regulations, required by a 1986 law, that  would offer amnesty to illegal aliens if they worked in the  cultivation of fruits, vegetables and other perishable  commodities.      The department is considering including in its definition  of perishable commodities such farm products as tobacco, hops,  Spanish reeds and Christmas trees, while excluding sugar cane,  the New York Times reported yesterday.      Rep. Howard Berman, D-Calif., would like to see the  definition extended to include sugar cane, cultivation of which  is ""a breeding ground for one of the scandals of the nation,""  Gene Smith, a spokesman for Berman, said.      Livestock, dairy and poultry producers have been lobbying  USDA hard to have their products covered by the amnesty  provision, farm industry sources said.      Chuck Fields of the American Farm Bureau Federation said  livestock producers were ""desperate"" because they fear they will  be unable to retain the many illegal aliens who have joined  that industry.      A House staff member involved in drafting the landmark 1986  immigration law who asked not to be identified said Congress  did not mean to extend special amnesty provisions to workers  who helped cultivate tobacco, and that inclusion of hops and  Spanish reeds was ""marginal.""      In addition, lawmakers made it clear during consideration  of the bill that lumber workers were not to be covered by the  the amnesty provisions, making the inclusion of Christmas trees  ""a tough call,"" this source said.      USDA officials declined to comment on the draft regulation  except to say it was subject to change before it will be  released, probably some time later this month.      While lawmakers may object to the USDA rule under  consideration relating to perishable commodities, Congress is  not likely to reopen debate on the controversial immigration  question, congressional sources said.      The amnesty provision specially designed for farm workers  was crucial to passage of the overall immigration bill.      Congressional staff members estimate the special farm  worker amnesty provision would apply to between 250,000 to  350,000 aliens. The law would allow eligible farm workers who  worked for 90 days during the year ending May 1, 1986, to apply  for temporary, then permanent, resident status.  "
gold,"MURGOLD RESOURCES &lt;MGDVF> DETAILS ASSAYS  Murgold Resources Inc said assays  received from 320 feet of drifting on the number-three vein at  the Chester Township property south of Timmins, Ontario,  indicate an average of 0.528 ounce of gold per ton across an  average width of five feet for the 320-foot length.      The last working face assayed 0.422 ounce of gold per ton  across 8.5 feet and the drift will be continued eastward from  that point, the company said.  "
gold,"TOTAL ERICKSON &lt;TLE.T> BUYS MINING PROPERTY  Total Erickson Resources Ltd and  Consolidated Silver Standard Mines Ltd &lt;CDS.V> said that Total  Erickson has purchased all Consolidated's interests in its Dome  Mountain property for 60,000 Total Erickson shares and 70,000  dlrs in cash.      The companies said the property has several gold-bearing  veins and has considerable exploration potential.  "
gnp,"BOLIVIA TO OFFER TO BUY BACK BANK DEBT  Bolivia is to make a formal offer during  the next few months to buy back its 900 mln dlrs debt from  commercial banks at a discount of up to 90 pct, central bank  president Jier Nogales said.       Nogales told Reuters in an interview the steering  committee of Bolivia's creditor banks had agreed to consider  the offer at a meeting in New York last month.       He said the offer would be based on the value of Bolivian  paper on the international secondary debt market, where it now  trades at between 10 and 15 pct of its face value.      Nogales said Bolivia will make a single offer to buy back  its commercial debt and banks who accepted would be paid the  discounted rate in full.      Banks which declined the offer would be repaid over 20 to  30 years at interest rates below those fixed in the  international markets, he added.      Bolivia has frozen payments on medium and long term loans  to commercial banks since March, 1984, and Nogales said there  would be no money available to restart traditional debt  servicing to them for some time.       Several Latin American countries have initiated schemes to  cancel foreign debt by equity swaps or third party buy-backs,  but Bolivia would be the first country in the region to make a  formal offer to buy back all its commercial bank debt at  discounted rates.      Nogales said practical and strategic considerations would  determine the exact timing of the offer but it would be made in  the next few months.       He said Bolivia would not bargain with creditor banks over  the price to paid for the debt paper they hold, and would make  a single non-negotiable offer.      He said Bolivia could not even pay interest to friendly  creditor countries, let alone commercial banks. The only  traditional way forward was to capitalise interest, which would  mean greater bank exposure in Bolivia and greater loss  provisions, he added.      ""We are confident that the banks are going to be  reasonable,"" Nogales said. ""Now they can resolve their problems  for once and for all.""      ""The most conservative ones who want a little more will  wait a year, but I don't know if the window of opportunity will  be open all the time,"" he added.      Discussing the status of other parts of Bolivia's four  billion dlr foreign debt, 2.5 billion of which is owed to  governments and the rest to international agencies, Nogales  said negotiators had achieved considerable success in recent  discussions with the Paris Club.       He said Paris Club creditors had agreed to reschedule  Bolivian debt over 10 years with five to six years grace, while  accepting that interest would not be paid until 1989. Interest  rates were being discussed on a bilateral basis under Paris  Club rules, he added.       He said some Paris Club members had agreed to disregard  penalty interest payments and negotiations were continuing with  Argentina and Brazil, who hold 700 mln dlrs of Bolivian debt.      He said Bolivia was continuing to service loans from  international agencies, and it expected to receive up to 400  mln dlrs in disbursements this year.      The capital flow for loans and their servicing had changed  from a negative balance of 250 mln dlrs in 1985 to a net inflow  of 130 mln dlrs last year, he added.      Nogales said that Bolivia's net international reserves now  stood at around 250 mln dlrs, compared to one mln dlrs in  disposable funds when the government of Victor Paz Estenssoro  took office in August, 1985.      Nogales said inflation, which soared to over 20,000 pct a  year in the government's first month in office, was now down to  10 pct on an annualised basis from the last six months, and the  plan was that it should continue at this level.      He said the government was also expecting at least three  pct growth in gdp this year after several years of negative  rates.  "
