,drugName,condition,review,rating,date,usefulCount
176789,Alphagan P,"Glaucoma, Open Angle","""Became ineffective within six months and developed an allergic irritance with it.""",2,21-Apr-14,5
121277,Venlafaxine,Major Depressive Disorde,"""I&#039;ve been on Effexor xr for 2 weeks and it&#039;s great. I had been on Zoloft before and it pooped out on me so my doc switched me to Effexor xr and after 2 days I started feeling good again. I take 37.5 mg per day. I come back to write here because I wanna give back to this forum and give hope for anybody that suffer from this like me. keep to try the med that suit for you. best wish!""",10,8-Jul-16,30
227160,Etonogestrel,Birth Control,"""I&#039;ve had Implanon for almost 3 years and had it removed today. I loved this birth control because it completely got rid of my period, and cramps. On the pill, I had awful cramps and would spend days in bed, on Implanon, cramps NEVER bothered me. My only complaint with the Implanon was major weight gain. Over the past three years I&#039;ve gained quite a bit of weight and this is the only reason I&#039;m moving back to the pill. If you&#039;re worried about weight gain, do not use  Implanon.""",7,9-Apr-14,10
17034,Phillips' Milk of Magnesia,Constipation,"""Been constipated for 2 days now. Bought the cherry flavor and took the indicated at night by the morning have never felt so good felt the bloating go away also. Poop my guts out """,10,19-May-16,25
227453,Etonogestrel,Birth Control,"""It&#039;s the most effective for not falling pregnant. I heard people getting pregnant on everything but the Implanon. It&#039;s 99.9% effective. I had fun with it. No kids and all the fun you can have. I have one child when I was 16 and got the Implanon right after I had him. I was too young and need to make sure I have no more for a while. When I get in my late 20s I will have another child but for now no. I&#039;m 19 and too young.""",9,28-Apr-13,8
62702,Citalopram,Depression,"""I have only been taking citalopram for one day and I already feel a sense of calming.  Also alot of jaw clenching.""",9,21-Jul-09,4
1509,Eluxadoline,Irritable Bowel Syndrome,"""This is my second time on this medication. For some background, I have had IBS my whole life and had many tests done and tried all kinds of diets to try and help and nothing worked. I used to go to the bathroom 6-8 times a day (sometimes more, usually with cramps) I used to take bentyl but it makes me feel very sleepy and groggy. I took the 75mg for awhile but it became less effective so now I&#039;m on the 100mg and it works a lot better and I&#039;m down to going to the bathroom about twice a day with minimal or no cramps through out the day. The only side effect I have had is that about 10 minutes after taking the pill I feel weird, like a weird feeling, mostly in my upper back/shoulders. It goes away pretty quickly and doesn&#039;t hurt.""",9,23-Aug-17,11
177493,Duloxetine,Depression,"""Cymbalta 120mg for 4 months
Good:
- slight to moderate increase in motivation, mental energy and attention/alertness.
- decrease in anxiety and depressive feelings.
Bad:
- made me less social, less empathetic and more robotic.
- horrible withdrawal symptoms which happen quickly if you forget to take it.
- when my dosage was increased from 30mg to 60mg, it started to give me nightmares at night and caused me to wake up in middle of the night and lose sleep.

Conclusion: Better positive cognitive experience than 10mg Escitalopram which other than positively affecting my mood, all it did was cause constant brain fogs and decrease my motivation even further.""",8,28-Feb-16,21
80181,Benzonatate,Cough,"""The BEST medication for controlling my cough due to recurring and sometimes chronic bronchitis. I have never had any side effects whatsoever. I just stop coughing.""",10,1-Dec-13,81
104625,Ethinyl estradiol / levonorgestrel,Birth Control,"""I didn&#039;t experience any side effects whatsoever. I&#039;ve been on Aviane For 3 months now, the only thing I noticed is my breasts and back got a little bigger. My face got so much smoother after about 3 weeks. I Love Aviane.""",10,2-May-11,3
101806,Terbinafine,"Onychomycosis, Toenail","""I am on my third month of taking Lamisil.  I had no side effects for the first two months and now I have frequent diarrhea (every day).  I just don&#039;t understand why I am now getting the side effects.  I am always thirsty, feel dehydrated and have a bad taste in my mouth most of the time.  Slight headaches here and there.  Did anyone else have side effects that came after two months?  Luckily this should be my last refill of this medication.  I haven&#039;t noticed any positive changes in my middle infected toenail, but a friend who took the medication advised me that it could take six months or longer for a new nail to grow in.  Staying positive.""",5,23-Mar-15,16
203339,Indomethacin,Cluster Headaches,"""Have been taking 2 dosage of indomethacin 25 mg for over 4 months now. This is the only medicine which has worked on my headaches.""",9,12-Jul-15,9
171477,Wellbutrin,Depression,"""Well I started at a 100mg dose and within 3 days it kicked in. I felt great...laughing again. ..cleaning the house again...friendly and chatty. No anxiety either. It was a lifesaver for me.""",10,4-Oct-15,88
30055,Klonopin,Anxiety,"""Started with an SSRI for anxiety and it just didn&#039;t work. Finally got prescribed this benzo Klonopin and it&#039;s perfect! I take 0.5mg, but when I take it, my anxiety goes away. I feel like I can do anything, with a clear mind of course. I don&#039;t have to hide away anymore. I thought this drug might make me &quot;stoned&quot; or something, but really all I experience is, after about 15 min, a general clear-minded sense of well-being and it works for a while. Good stuff.""",10,7-Aug-15,70
86886,Latuda,Bipolar Disorde,"""Relieved symptoms of severe depression but caused terrible, debilitating dry eyes.  I have mild dry eye disease under normal circumstances, and dry eyes are *not* listed as a side effect for Latuda.  It got to the point though where I was unable to do anything because of my dry eye discomfort.  I got severely tense and anxious, which kind of negated any positive effect from the Latuda.  So, we stopped it, and my dry eyes went away.""",5,18-Mar-17,11
4295,Belviq,Weight Loss,"""I started Belviq 3.5 weeks ago. I tried sorting through reviews just like you are, to see if the $85 a mo. after coupon was worth it. I found it difficult because too many reviewers left out their gender, weight &amp; height so I just decided to just try it.  With that being said, I&#039;m a 5&#039;1 female with a desk job weighing 163 to start. I now weight 157. This medication suppresses my appetite slightly, but it suppresses my cravings a lot &amp; I don&#039;t give like before. The first day I thought I wasted $85 because the headache was awful. It subsided the next day. I do feel sleepier at night, so I haven&#039;t worked out at all, I&#039;m going to purchase another month &amp; add  Exercise. I&#039;m also on a 1200 cal diet that I track on my fitness pal""",7,26-May-17,43
206328,Mesalamine,Ulcerative Colitis,"""This is the only mesalamine formulation that prevents my symptoms (with an anti-TNF medication), and since it&#039;s taken only in the morning it&#039;s much easier to manage. Zero side effects. Very, very expensive. Sign up for the prescription copay card to make it as affordable as the generics. 

Note that while the active ingredient is available as generic, the delayed-release action of this brand makes all the difference in my experience.""",10,23-Feb-14,13
143879,Etonogestrel,Birth Control,"""I am on my second Implanon. I find I rarely have periods for the first 1.5 years (bliss), and after that light bleeding seems to be occurring every fortnight which was annoying. However, 1.5 years perfectly fine and after the first one, at about 2 years I had it replaced and all was fine again. I put on no weight (if anything I find I am probably fitter while on it but that&#039;s just lifestyle). I did put on weight on Depo the one time I tried it. It doesn&#039;t react badly with everyone - I was back in the gym within the week doing light arm stuff until the bruising went away with no ill effects. Issues with this could be doctor problems not implant problems!! I have loved it. No more forgetting to take the pill and being worried""",8,31-Aug-16,6
150983,Sulfamethoxazole / trimethoprim,Bacterial Skin Infection,"""I have been using this for about 6 days now and already notice a huge difference. The first few days I was very tired but it was well worth it to get rid of the skin condition that came from nowhere. I am 32 and my skin had never done this before. I am so happy that this is working and thank God that it was not an expensive medication either considering I am a widow and single mom. I would tell anyone with this problem to try this first and skip anything else. It is just an infection. Best of luck to you all.""",10,2-May-09,40
68056,Plan B,Emergency Contraception,"""Ladies Plan B does work! I had sex with my boyfriend on November 1. So got Plan B two hours later. I only had mild cramps. My period was suppose to be on November 18. I was two weeks late. So I took a pregnancy test. It was negative. I knew I was going to miss my period because I was taking my finals and was stressed out of mind. I waited for my next period andI I only had brown discharge and very small spotting. I continued to wait and decided to take a blood test. The results showed 0 HCG and stated not pregnant. I knew I wasn&#039;t pregnant the whole time, because I didn&#039;t &quot;feel pregnant&quot; and I continue to experience my period symptom which include acne. And finally I had my period. Be patient!! I waited two months for mine.""",9,14-Jan-16,3
23079,Apremilast,Psoriatic Arthritis,"""I am 60 and I have had Psoriatic Arthritis since I was 20. So 40 years of trying all kinds of topical medications, cortisone creams, sun light and UVB treatments, Dead Sea Trips and eventually Methotrexate. 6 months ago, my Dermatogist suggested I try Otezla. My Insurance 
refused to pay for it and suggested all kinds of Biologic medications.  I refused the Biologic meds after reading of dangerous side effects. Otezla approved me on a temporary Bridge program while we are fighting the Insurance. Initial results were astonishing. Both the Arthritis pain and the Psoriasis were gone! I stopped taking the Methtrexate. About 3 months after I started taking Otezla, some Psoriasis patches came back, though the Arthritic pain is minimal.""",8,1-Jan-16,25
225323,Bupropion,Smoking Cessation,"""Today I was looking up the side effects of Bupropion HCL 150mg. two a day. I have been taking this for depression &amp; have found it working. I have the ability now to diet &amp; exercize &amp; I want to interact more.  So, as I am reading the side effects I notice that its also used to stop smoking. I didn&#039;t know this. I have smoked for 30 yrs aprox &amp; thought I had just stopped smoking for no reason &amp; without even trying.  I wondered why I had almost no interest in cigarettes any more, some days even forgetting to have a cigarette!  If I do smoke it&#039;s just 1 or 2 in the evening &amp; not every day and the feeling I have  is not at all a craving. It&#039;s more like I will myself to have a smoke because it&#039;s what I do (habit), but I don&#039;t need one &amp; hardly even want it!""",9,16-Apr-15,34
90920,Norco,Back Pain,"""So far I am able to control my pain with 10-325. I have another fusion in July. I hope this will be the end of needing medicine to control my severe pain.""",8,21-Mar-14,32
89598,Celexa,Depression,"""I finally made the decision to seek professional help for my depression/major anxiety.  After trying to self heal for 2 years, I realized that I couldn&#039;t beat the anxiety on my own.  I cried the night before my Dr. appointment, due to feelings of failure because I couldn&#039;t cure it myself, and I also cried through my entire appointment.  I was severely depressed from having to live with anxiety and fear.  A horrible and embarrassing thing to live with.  My Dr. perscribed me Celexa and I honestly didn&#039;t think it would work.  I almost gave up taking Celexa because it took 3 weeks to kick in and I am impatient.  After taking Celexa, I find that I am much calmer. I don&#039;t worry about things and I am happier and less fearful.  Only side effect is grinding of teeth.""",10,19-Dec-11,43
165170,Phentermine / topiramate,Weight Loss,"""Started on 11/14/14, at 227.8 lbs at 5&#039;6&quot; tall - 8 months later I have lost 51 lbs, am now 176.8 lbs. I have gone from a size 16 to a 10-12 depending on the brand. Side effects are dry mouth (solved by drinking a ton of water) and tingling in feet, which I notice more as it becomes time to take the next dose in the morning. Qsymia definitely curbed the snacking, the over eating, etc. Changed the way I eat, increased fresh vegetables, cut carbs (no bread, limited starch, etc.) and stopped eating processed foods. Began to cook dinner more, to control the butter, oil, cooking method rather than relying on the quick fix of takeout. This has made a HUGE difference. Increased activity as well. I can see my curves again. 20 lbs. to go!""",10,29-Jun-15,64
163112,ella,Emergency Contraception,"""I took EllaOne about an hour after having sex with my partner. The condom burst, it was an unfortunate accident. This happened 6 days before I was due my cycle, which is quite regular.
The only side effect I had endured was breast tenderness for a few days afterwards.  No spotting or bleeding. On the day I was due my period, I suffered abdominal pains which I wouldn&#039;t have associated with cycle pains. When my period didn&#039;t come, that is when I started frantic researching; reading forums can be very scary and stress you out even more. I had a tendency to latch onto negative experiences. I stressed myself out to the point of sickness. 
My period arrived 2 days late and I know that EllaOne did the job :) Every body is unique. Relax!""",10,14-Aug-17,9
40284,Savella,ibromyalgia,"""I was on the study to get Savella approved in US.I went from only being able to work 8 hours a week to 40 hours thanks to Savella. Changed my life for the better.""",9,23-Mar-13,114
142359,Levonorgestrel,Birth Control,"""I got Skyla inserted two years ago. I still had periods on Skyla but they were much heavier and I had awful cramps. Skyla also caused me to have terrible acne. It wasn&rsquo;t until recently that I started to have more issues. My periods began lasting more than a week and a half and were only two weeks apart. I&rsquo;ve been suffering from headaches daily, no energy, dizziness, and nausea. I just don&rsquo;t feel like myself. I called my doctor and he seemed to think removing Skyla would solve the problems. I went this morning to have it removed (which is pain-free!!!) so hopefully things will get better!""",1,18-Oct-17,3
112793,Bisacodyl,Constipation,"""I took one dulcolax around 5:30pm with a glass of water and a sandwich and came online here preparing for the worst time of my life. Hadn&#039;t gone in 5 days and was starting to feel a bit of pressure/discomfort. About 2 hrs later, one solid (but slightly softer) BM comes and goes and now 5 hours post pill, the only effect I&#039;m dealing with is a grumbly stomach and very mild cramping, no more than a 2 out of 10 on the pain scale. I feel 50x better and this mild post-pill/post BM discomfort is definitely worth it given the huge relief. 6-12 hours to work? More like 1.5-2. My suggestion would be to drink a good amount of water with it and eat if possible, and start with just one pill! I&#039;m a 105 lb female, 20 yrs old. Don&#039;t take 2-3 at once!""",8,8-Jul-17,6
64412,Sertraline,Depression,"""I have been using setter alone now for around 4 years and they help with my mood and anxiety, I am on 100mg, 1 tablet a day. My hair has gone extremely thin, losing loads each day, via combing; I thought initially it was after having my son who is nearly 4 years old, as hair loss can be associated after bearing a child but its getting worse, to the point where my daughter said gosh mum that&#039;s not normal, your hair comes out in clumps! 
I am rather worried as may be it could be the medication?
Plus Iv put on weight and my appetite has increased! Iv put on 3 stone since having my son. 
I think I&#039;m going to reduce the amount gradually and stop taking it as il end up more depressed if these symptoms continue!""",6,23-Aug-16,3
14506,Buprenorphine / naloxone,Opiate Dependence,"""Suboxone got me off of the Norco, 10mg 6-8 a day. Now I take a half of a Suboxone in the morning and half around lunch. I&#039;ve had zero side effects. This medicine is a miracle for me, I&#039;m back to my old self and able to do things I thought I&#039;d never be able to do again. I now coach my daughters fast pitch softball, Archery, and the outdoors, pain free. 

I know that this medication was not designed to provide &quot;pain relief&quot; but that is the best part about it.""",10,13-Aug-09,12
154003,Vivitrol,Opiate Dependence,"""I was so nervous to get the shot after reading all of the horror stories on the Internet. However, it was absolute rubbish. I went in to get my shot having not used for 11-12 days after cold turkey from a nasty prescription pill habit. Roughly 90-120mgs per day and using suboxone a few days a week when I couldn&#039;t afford the pills. The people who are feeding you these nightmare precipitated withdrawal stories are getting the shot with opiates still in their system. Obviously, the more and longer you use, the longer it may take for you to get completely opiate free. But 10-14 days is long enough for nearly anybody. Just have the Doctor give you the challenge with Naloxone before he gives you the vivitrol. If you have no reaction you&#039;ll be good""",10,4-Mar-15,63
219238,Ortho Cyclen,Birth Control,"""I have been on this pill for almost two years. I had very little side effects in the beginning. For the last six months or so my acne has worsened and I&#039;ve been getting more frequent headaches. A little weight gain but the acne has me reconsidering.""",6,17-Oct-13,4
172335,Clonazepam,Panic Disorde,"""Worked very well for my severe panic attacks. I&#039;ve used this med as a crutch for a couple of weeks until Prozac levelled me out. My concern was the severe dependency issues that come with prolonged usage. I took it once a day in the evening for about three weeks, I felt  like I was losing my sanity. Combination of Klonopin in the beginning and Prozac to level me out  worked very well for me.""",8,3-Jun-17,15
187081,Advair HFA,"Asthma, Maintenance","""NOTE: I live in the UK, where GSK calls Advair &#039;Seretide&#039;. It&#039;s the same thing.

---

I struggled for control until I was given Seretide 50/25, 2 puffs twice a day, on Christmas Eve 2014. One of the best Christmas presents ever! 

I got a bad chest infection about 6 weeks later and had to move to Seretide 125/25, 2 puffs twice a day.

Now controlled on Seretide 125/25 and Montelukast 10mg daily. Also have to use Salbutamol inhaler regularly during allergy season or when I&#039;m ill/coming down after an allergic reaction. Prednisolone for latex allergy reaction, and Pred.   prophylactic antibiotics if I&#039;m bad.""",9,23-Jul-15,2
91416,Anastrozole,Breast Cance,"""I took it for 5 yrs. and 2 months. I cannot say if the changes were from chemo or from Arimidex. Changes in taste and smell persist. Frontal headache, blurred vision, cough, calcium loss - osteopenia. Stiff joints, long bone pain, sciatica pain of right leg, fatigue, wicked insomnia, hot flushes &amp; flashes. Neuropathy in hands and feet, specially balls of feet and very sensitive tips of toes. Very dry skin, aged face, hair is very thin and breaking easily. Never got back full eyebrows, very SAD! I loved my eyebrows.""",10,26-Feb-14,154
79804,Xarelto,Deep Vein Thrombosis,"""Treated with Coumadin for 3 years.  Stopped Coumadin 2 days ago. Started Xarelto last night 20 mg once a day.  Maybe it is the excitement of being off Coumadin, but today is the first day I feel normal.  No headache, No light headedness, No Fuzzy head, was not tired in the middle of the day.  Coumadin really made me feel different.  I thought it was just getting old.  Also my eyes feel clear now.  First thing I did last night was drink two glasses of cranberry juice. It was great. For lunch spinach in my sandwich.  Wonderful. Looking forward to not seeing my doctor to draw blood every month.  Might even get back into some low impact sports in the afternoon before dinner.  """,10,5-Apr-13,117
20412,Metformin / sitagliptin,min / sitagliptin),"""I had bad side effects from this medicine. I had nausea, headache and dizziness almost daily since taking Janumet. Thinking my body would adjust I kept taking it for about 6 months. Since I stopped it 2 weeks ago the nausea, headache and dizziness has stopped. I will have to get &quot;real&quot; with myself and do diet and exercise.""",1,7-Sep-09,44
28468,Lexapro,Anxiety,"""I&#039;ve been on it for 5 years and my life is a lot different then it would have been without it!""",9,8-Jun-13,54
208883,Belsomra,Insomnia,"""I suffer from severe anxiety and depression and often find myself unable to fall asleep (note I take about 4 mg of klonopin a day). I&#039;ve never used a sleep aid before this, other then melatonin, and after almost 2 weeks of broken sleep I could say I had a solid 8 hours and actually needed my alarm to wake me up for once lol. The klonopin helps but I don&#039;t like taking it right before bed and would never give me a sleep like this. Woke up a little groggy but nothing unusual, no hallucinations or side effects. 12mg did the trick (broke the pill 20mg) and my gf said she&#039;s never seen my sleep like that, I was drooling lol. Long story short it is an effective sleep aid for me and suffered no ill effects. Felt well rested as well.""",9,29-Oct-15,31
158891,TriNessa,Birth Control,"""Started taking this to avoid getting pregnant. First two weeks I had horrible headaches which would turn into migraines. I also started breaking out in acne everywhere. I have not had been skin since high school, but now its all over my face, chest, and back. Nothing helps to get rid of it. I drink plenty of water use the usual creams and soaps and still have acne in exactly the same places for the past month. Only plus is that my period is very light and only lasts four days.""",4,25-Jun-17,1
136295,Prazosin,Post Traumatic Stress Disorde,"""The very first night I took this, I slept through the night without any more nightmares! Week and a half so far, and it feels wonderful to have slept through the night each night!""",10,8-Oct-09,54
145757,Qsymia,Obesity,"""I&#039;m done!  Qsymia has helped me reach my goal!  Started Sept. 2013, 52 yo female with 3 kids, 5&#039;4&quot; weighed 198 lbs.  Now I am 145 lbs, look and feel great. With the help of Qsymia I have learned how to control my calorie intake yet still feel full and be able to eat everything I like - just the healthy versions.  I hope I will be able to maintain this without taking the medication anymore...We&#039;ll see!""",10,27-Sep-14,113
133153,Tri-Sprintec,Birth Control,"""I love Tri-sprintec! It has regulated my cycle and cleared up my skin. The first couple of months I was a little nauseated when I took it, but that has gone away. This pill helped to balance out my hormones and actually helped me to lose weight. No complaints other than the 1-2 nights of nausea I experience when I start a new pack. Oh, and it&#039;s FREE. """,10,3-Feb-14,25
120712,Dicyclomine,Irritable Bowel Syndrome,"""Where has this stuff been? I have been suffering with irritable bowel disease since the beginning of June and was prescribed Bentyl. The first few days were four 10 mg pills a day and that sent me into orbit, but the spasms lessened. Then I was to go down to two a day and I managed to be awake here and there. Now I am on a daily dosage of one a day. The side effects are sleepiness and a little cognitive impairment, but the cramping has decreased by 97%. For me, this has been a total blessing. As I feel better I am thinking of switching to taking the one pill at night instead of the morning. But for now, I am changing nothing. I eat a very bland diet, but hey, it is being processed normally.""",9,24-Jul-13,108
66767,Seroquel,Bipolar Disorde,"""I was diagnosed bipolar about 15 years ago and have been on and off many medications.  I now have insomnia and Seroquel is the only medication I have found that will help me sleep (besides Geodon which gave me involuntary muscle spasms) I take 100mg a night. It does make me sleep a lot, which I really like. I usually sleep from 11pm to 8:30 or 9am.  Thankfully I don&#039;t have to be up early for any reason.  I feel so stable and happy and rested on it.  The reason I rated it a 9, instead of 10...major weight gain.  30lbs and it hasn&#039;t stopped.  I did recently try to switch to Latuda because of weight gain and I was miserable with no sleep.  I wish Geodon had worked because I actually lost weight on that.""",9,11-Aug-13,39
143677,Etonogestrel,Birth Control,"""Do not choose this method if you are already a overly sensitive person or may have any depression or anxiety, I would not recommend this. I am 24, and this is my second type of birth control method I tried. After I insert it, it took me about 5/6 months to realize that the medicine caused me to become more sensitive, suffer depression and anxiety. I have about 5 panic attacks in one year and always easily irritated and depressed. Once I got rid of it, I was back to normal. It may not be the same for all women but this is my experience.""",1,16-Dec-16,16
136847,Sodium hyaluronate,Osteoarthritis,"""Wonderful""",8,12-Jun-12,33
179881,Adapalene / benzoyl peroxide,Acne,"""I&#039;ve had epiduo for around 3 days already and only by using it once a night I have already seen significant changes in my acne. Before I got this I tryed so many different face washes and this is the only one that had a positive reaction""",9,6-Apr-15,8
139104,Phentermine,Weight Loss,"""I&#039;ve been using phentermine to lose the remainder of my baby weight. It&#039;s been 2 weeks and I have lost 14lbs I do exercise and already eat right but after I lost the first 50lbs, I turned to this for a plateau breaker it broke my plateau and its helping me get back within navy standards with nothing to worry about. I recommend this to anyone who fully understands the effects of this controlled drug and has a very good understanding of healthy eating and the importance of exercise. Please note that this is a temporary medication - it is not meant to be used past a 12 week period during this time you are supposed to learn how to make healthier lifestyle choices. """,10,26-Jan-09,30
85903,Ethinyl estradiol / norgestimate,Birth Control,"""I have menorrhagia (very heavy period bleeding). I have severe cramps. I was on Loestrin 24 Fe for a year, and I started getting my period twice a month! I started taking Tri-Sprintec a couple of months ago, and I haven&#039;t had my period at all, no cramps, my skin is clear, I haven&#039;t gained any weight either.""",10,20-Sep-12,8
204956,Toradol,Pain,"""Helped decrease my headache/migraine. Received a shot of this medication.""",9,3-Dec-15,5
63415,Epiduo,Acne,"""I struggled with acne for about 4 years. within months of taking epiduo I have almost perfect skin with a minor breakout every once in a while. I tried so many treatments before epiduo and this was the first thing that worked. I highly recommend it!""",10,6-Jul-16,8
134426,Prednisone,Bursitis,"""I had elbow bursitis so bad, I could not sleep, move my arm. Missed work etc. Tried Advil, naproxen and tylenol and codeine.  Prednisone is the only thing that works and started working within 6 hours.  Took it for 7 days and my arm felt so much better. After I went off, it slowly came back but not quite as bad.  Took it for another 7 days and it healed 90 percent.""",9,3-Jan-12,41
152492,Ciprofloxacin,Prostatitis,"""I took Cipro for a month and felt improvement, but 10 days after completing my script, the symptoms have returned.  I am also on Bactrim and am hopeful to get this resolved.""",3,4-May-10,17
197618,Suprep Bowel Prep Kit,Bowel Preparation,"""Don&#039;t sip it, don&#039;t taste it, just drink it fast, cold.
It works within 30 minutes""",7,29-Nov-17,1
202285,Benzoyl peroxide / clindamycin,Acne,"""I cannot tell you how much this has changed my life! I was always afraid to go to the dermatologist because it would cost too much. Finally I sucked it up and went. I was prescribed clindamycin phosphate benzoyl peroxide gel for morning application and Adapalene for at night. The gel does dry your face out, more when you first start using it. At first, my face was really irritated and red after applying and lasted for about a month. I stuck through it and it was so worth it. I MIGHT get a pimple every few months now and I suffered from cystic acne before. I really really suggest sticking with it even though it will burn your face for the first few weeks.""",10,1-Feb-15,14
86994,Latuda,Bipolar Disorde,"""Horrible!!!  wouldnt recommend to anybody""",1,9-Apr-16,6
4802,Belviq,Weight Loss,"""I am surprised at my 24lb loss in the last 3 months and 2 weeks to be honest. I thought Belviq was over priced and just another miracle pill.  With a lower carb diet and less food intake alone  (no &quot;real&quot; exercise) I am dropping weight very easily.  This stuff is great!""",9,15-Mar-15,152
155314,Metronidazole,Bacterial Vaginitis,"""Within a few days the smell and itching went away. Only problem is yesterday was my last day taking the pills for the infection and it still feels weird down there. Just a little uncomfortable. I hope it goes away!! Anyone else have this problem ?""",8,9-Oct-15,20
218629,Tri-Sprintec,Birth Control,"""I was originally put on OrthoTricyclin Lo for my acne, but I couldn&#039;t afford it so I was switched to trisprintec.
Like I said, I was originally put on this for acne, but then my boyfriend and I started having sex so I was using it for it&#039;s BC effects too. It has worked WONDERS. My acne has cleared up, I&#039;m not pregnant (you need to take it regularly though! don&#039;t forget!), no mood swings, and my periods are shorter and lighter.
However, I didn&#039;t experience the GOOD side effects till after 3 months in! I was moody, bloated, and nauseous, but my body needed to get used to it. I encourage you to try and stick it out for a bit if you just started and are feeling that way. keep up with it and maybe you&#039;ll like it too!""",9,14-May-16,13
91928,Lyrica,ibromyalgia,"""History of aches fatigue 10 yrs. mostly in early morning . I started taking lyrica 50 mg just one week ago  at 50 mg twice a day.  Very Slight dizziness with first pill however 90 percent better  within couple days . no more morning profound aches. More energy. Maybe a little too much energy. Going to try just  an early morning low dose 50 mg.   over all  I am very pleased.""",9,17-Oct-15,65
222419,Kyleena,Birth Control,"""Insertion not painful at all!! Literally one second of discomfort. I&#039;ve just had my period/spotting the past month and am hoping that goes away. Def recommend. IUD&#039;s are so the move with birth control I wouldn&#039;t do anything else""",10,11-Sep-17,3
73095,Ethinyl estradiol / norethindrone,Birth Control,"""Been on this pill for three weeks. The first week I had headaches and nausea and almost quit taking it due to the side effects but my body adjusted. I have a lot of digestive tract issues but this works for me. I have grown almost a cup size and on certain days have tenderness. My sex drive is a lot higher than normal. I had some spotting and a few minor breakouts during the second week. So far so good. I&#039;m 19 and this is my first birth control. No complaints so far, its worth trying.""",7,2-Feb-15,11
205009,Toradol,Postoperative Pain,"""I have a long history of narcotic drug dependency, mainly heroin use. I went into the ER with an insect bite which was infected because I had tried to drain it myself. Don&#039;t Do That! I was given IV Toradol during my 5 day stay in the hospital. My 2nd day there I had to have surgery. Post op I took only Toradol, it did great for managing my pain. I chose not to go the narcotic route due to my drug abuse history. Had it not been for this medication, I could have very well been on the road to relapse following my surgery.  I do have to mention that IV Toradol does wonders for me but when I had a prescription for the pills, they gave me awful nightmares and upset stomach along with some other unwanted side effects.""",9,19-Aug-12,27
217483,Clarithromycin,Sinusitis,"""have used Biaxin (actually now always the generic version) for many years. Works great for me, always makes me feel much better within 12-18 hours of taking the first pill. Never had ANY side effects, except metallic taste - which has never bothered me (never been very strong). Great drug, wonderful for my chronic sinusitis. (Hint: I eat lots of miso when taking antibiotics; does wonders for my GI when taking antibiotics. Miso soup, miso on top of rice, miso in various dishes; just make sure you get the longest fermented one you can find - I buy 2-yr miso.)""",10,25-Mar-15,22
7211,Aluminum chloride hexahydrate,Hyperhidrosis,"""I have had excessive underarm sweat ever since I was 14. I tried Drysol when I was in High School but didnt follow the directions properly, being young a dumb I just  thought it didn&#039;t work.  Years have gone by and I have tried everything from underarm pads, to every antiperspirant under the sun. When I seriously thought about getting botox, I thought I would try Drysol ONE more time.  I followed the directions to a T and after one night of use I didn&#039;t even have a drop of sweat the next day.  I&#039;m so impressed and wish I had tried it again a lot sooner. I recommend this to ANYONE who suffers from hyperhidrosis, it is a life changer. I was getting anxiety, not wanting to work in fear of someone seeing my sweat.  I have never been so happy.""",10,9-May-11,23
50494,Gabapentin,Peripheral Neuropathy,"""After visiting a neurologist for burning and tingling pain in both feet, I was diagnosed with peripheral neuropathy and pre-diabetes.  (I&#039;m slender, always ate a well-balanced diet, and exercised.)  I tried various medications but the side effects outweighed an pain relief.   I have been on Gabapentin (neurontin) 200mg at night for four years.  It doesn&#039;t relieve all pain, but it does allow me to sleep through the night.  I wake up every morning in pain, which continues on and off all day.  However, I have very little side effect (occasional sadness, irritability, nausea).   Neurontin allows me to have a reasonable quality of life, and very inexpensive.""",5,23-Apr-12,191
79538,Plan B One-Step,Emergency Contraception,"""I took this less than an hour after the condom broke, I experienced a headache, and fatigue. I&#039;ve had to use it about 3 times. It has worked every time. """,10,13-Oct-13,18
209533,Levsin SL,Irritable Bowel Syndrome,"""I just found out that this drug is &quot;unapproved&quot; by the FDA because it is &quot;not effective&quot;.  However, in my experience, it is the most effective drug I&#039;ve tried for my IBS.  I&#039;m taking Linzess and use fiber supplements to regulate my system.  These have helped to limit the number of attacks; however, I do still have them about twice a month.  When my symptoms start, without Levsin SL I am in agony for anywhere from 45 minutes to two hours; with the Levsin SL, my symptoms come to a dead stop within five minutes of taking it.  The plain (not sublingual) tablets take a little longer to work, but they are still better than suffering for over an hour.  I don&#039;t understand how the FDA determined it was ineffective.""",10,12-Jan-16,44
202094,Benzoyl peroxide / clindamycin,Acne,"""I&#039;ve never used any type of acne medication, I&#039;ve been using this for a week now and I can see a big improvement only problems I see is that it leaves my skin extremely dry and itchy which is irritating but hey no more acne! ^-^ I would recommend as long as you have a extremely good moisturizer!""",7,31-Jan-16,9
214939,Human papillomavirus vaccine,Human Papillomavirus Prophylaxis,"""I had the shot given to my daughter, she fainted (one of the side effects), she had never done this before, it was the scariest experience ever.  The next shots went fine.""",5,17-Nov-09,10
152601,Lortab,Cough,"""This medicine works perfect.""",10,30-Sep-11,29
